key,english,before,after,reason
app.tools.toolsAdminGate.adminOnlyBody,"Access profiles decide which tools your agents can use. Ask an administrator to set these up, or head back to <anchor>your apps</anchor>.",访问配置档决定 Agent 可以使用哪些工具。请联系管理员进行设置，或返回<anchor>你的应用</anchor>。,访问配置档决定智能体可以使用哪些工具。请联系管理员进行设置，或返回<anchor>你的应用</anchor>。,agent-skill-display
app.lib.appGalleryCopy.zapier.short,"Reach 9,000+ apps from your agents.","让 Agent 连接 9,000+ 款应用。","让智能体连接 9,000+ 款应用。",agent-skill-display
app.lib.appGalleryCopy.generic,Give your agents access to this app.,让 Agent 访问此应用。,让智能体访问此应用。,agent-skill-display
app.lib.attention.source.agentError,Agent error,Agent 错误,智能体错误,agent-skill-display
app.lib.adapterTestEnvironment.managedSandboxUnavailable,"This instance runs agents only in its managed sandbox environment, but no managed sandbox environment is available to test in. Check that the managed sandbox provider is active, then retry the test.",此实例只在托管沙箱环境中运行 Agent，但当前没有可用于测试的托管沙箱环境。请确认托管沙箱提供方已启用，然后重试测试。,此实例只在托管沙箱环境中运行智能体，但当前没有可用于测试的托管沙箱环境。请确认托管沙箱提供方已启用，然后重试测试。,agent-skill-display
app.lib.interactionAudience.effectAnyone,"Anyone in the organization can respond — the board or any agent, including the one that asked.",组织内任何人都可以回复——Board 或任意 Agent，包括提问的 Agent。,组织内任何人都可以回复——Board 或任意智能体，包括提问的智能体。,agent-skill-display
app.lib.interactionAudience.effectNotCreator,"Anyone in the organization except the agent that created the card, and its run. Use this when the answer has to come from someone else.",组织内除创建此卡片的 Agent 及其运行以外的任何人。需要由他人给出答案时使用。,组织内除创建此卡片的智能体及其运行以外的任何人。需要由他人给出答案时使用。,agent-skill-display
app.lib.interactionAudience.effectHumanOnly,Only a person on the board can respond. Agents are turned away.,只有 Board 可以回复，Agent 会被拒绝。,只有 Board 可以回复，智能体会被拒绝。,agent-skill-display
app.lib.interactionAudience.addressedAgent,the addressed agent,被指定的 Agent,被指定的智能体,agent-skill-display
app.lib.interactionAudience.creatorFallback,the agent that created it,创建它的 Agent,创建它的智能体,agent-skill-display
app.lib.interactionAudience.summaryHumanOnlyAssigned,Assigned to {{addressee}}. Only a person on the board can respond — agents cannot resolve this card.,已指派给 {{addressee}}。只有 Board 可以回复——Agent 无法处理此卡片。,已指派给 {{addressee}}。只有 Board 可以回复——智能体无法处理此卡片。,agent-skill-display
app.lib.interactionAudience.summaryHumanOnly,Only a person on the board can respond — agents cannot resolve this card.,只有 Board 可以回复——Agent 无法处理此卡片。,只有 Board 可以回复——智能体无法处理此卡片。,agent-skill-display
app.lib.interactionResolutionError.code.interaction_creator_excluded,This interaction must be resolved by someone other than its creator or creating run.,此交互必须由创建者或创建它的运行之外的人员或 Agent 处理。,此交互必须由创建者或创建它的运行之外的人员或智能体处理。,agent-skill-display
app.lib.interactionResolutionError.code.interaction_run_attribution_required,A valid authenticated Agent run is required to respond.,回复此交互需要有效且已通过身份验证的 Agent 运行。,回复此交互需要有效且已通过身份验证的智能体运行。,agent-skill-display
app.lib.interruptHandoff.noAgentNotifiedSuffix,— no agent will be notified,——不会通知任何 Agent,——不会通知任何智能体,agent-skill-display
app.lib.interruptHandoff.clearResponsible,Clear responsible — no agent will be notified,清除负责人——不会通知任何 Agent,清除负责人——不会通知任何智能体,agent-skill-display
app.lib.interruptHandoff.mentionedAgent,the mentioned agent,被提及的 Agent,被提及的智能体,agent-skill-display
app.lib.interruptHandoff.plainNameWarning,No agent will be notified. Use @ to mention an agent.,不会通知任何 Agent。请使用 @ 提及 Agent。,不会通知任何智能体。请使用 @ 提及智能体。,agent-skill-display
app.lib.interruptHandoff.responsibleAgent,the responsible agent,负责的 Agent,负责的智能体,agent-skill-display
app.lib.interruptHandoff.wakeUnassigned,not created — no agent selected. Mention @agent or pick a responsible to dispatch.,未创建——未选择 Agent。请 @提及 Agent 或选择负责人以派发。,未创建——未选择智能体。请 @提及智能体或选择负责人以派发。,agent-skill-display
app.lib.interruptHandoff.anAgent,An agent,某个 Agent,某个智能体,agent-skill-display
app.lib.interruptHandoff.bucketLiveRuns,Live agent runs,进行中的 Agent 运行,进行中的智能体运行,agent-skill-display
app.lib.interruptHandoff.bucketAgentOwned,Agent-owned,Agent 负责,智能体负责,agent-skill-display
app.lib.interruptHandoff.detailAgentOwned,responsible agent; no run is live,有负责的 Agent；当前没有进行中的运行,有负责的智能体；当前没有进行中的运行,agent-skill-display
app.lib.issueChangeReceipt.reason.allow_scoped_agent_write,scoped agent write,限定范围的 Agent 写入,限定范围的智能体写入,agent-skill-display
app.lib.issueChangeReceipt.reason.internal_agent_write,internal agent write,内部 Agent 写入,内部智能体写入,agent-skill-display
app.lib.liveUpdatesProvider.agentShort,Agent {{id}},Agent {{id}},智能体 {{id}},agent-skill-display
app.lib.liveUpdatesProvider.agentWantsToJoin,Agent wants to join,有 Agent 申请加入,有智能体申请加入,agent-skill-display
app.lib.liveUpdatesProvider.viewAgent,View agent,查看 Agent,查看智能体,agent-skill-display
app.lib.toolInstalls.installInfo,Installing adds {{appName}}'s tools to the agent's context on every run — install only where it will actually be used.,安装后，每次运行都会把 {{appName}} 的工具加入 Agent 上下文——请只在确实会用到的地方安装。,安装后，每次运行都会把 {{appName}} 的工具加入智能体上下文——请只在确实会用到的地方安装。,agent-skill-display
app.lib.toolInstalls.autoExtend,"Installing on {{agentName}} will also grant access. A tool can't be installed on an agent that isn't allowed to use it, so we'll add {{agentName}} to who can use it. This is logged.",安装到 {{agentName}} 时也会授予访问权限。工具无法安装到无权使用它的 Agent 上，因此会把 {{agentName}} 加入可使用者名单。此操作会被记录。,安装到 {{agentName}} 时也会授予访问权限。工具无法安装到无权使用它的智能体上，因此会把 {{agentName}} 加入可使用者名单。此操作会被记录。,agent-skill-display
app.lib.toolInstalls.installAllWarning,Adds context cost to every run of every agent — a deliberate choice. New agents you add later are installed automatically.,这会增加每个 Agent 每次运行的上下文成本，请谨慎选择。之后新增的 Agent 也会自动安装。,这会增加每个智能体每次运行的上下文成本，请谨慎选择。之后新增的智能体也会自动安装。,agent-skill-display
app.lib.toolInstalls.installedHint,Has access — tick to load its tools into this agent's context.,已有访问权限 — 勾选后将工具加载到此 Agent 的上下文中。,已有访问权限 — 勾选后将工具加载到此智能体的上下文中。,agent-skill-display
app.lib.activityFormat.row.agentRuntimeSessionReset,reset session for,重置了会话，所属 Agent：,重置了会话，所属智能体：,agent-skill-display
app.lib.activityFormat.row.auditExported,exported the agent audit log for,导出了 Agent 审计日志：,导出了智能体审计日志：,agent-skill-display
app.lib.activityFormat.row.toolConnectionInstallsSynced,changed agent installs for,更改了 Agent 安装：,更改了智能体安装：,agent-skill-display
app.lib.activityFormat.row.toolConnectionInstallAccessExtended,extended agent access for,扩展了 Agent 访问权限：,扩展了智能体访问权限：,agent-skill-display
app.lib.activityFormat.detail.agentCreated,created an agent,创建了 Agent,创建了智能体,agent-skill-display
app.lib.activityFormat.detail.agentUpdated,updated the agent,更新了 Agent,更新了智能体,agent-skill-display
app.lib.activityFormat.detail.agentPaused,paused the agent,暂停了 Agent,暂停了智能体,agent-skill-display
app.lib.activityFormat.detail.agentResumed,resumed the agent,恢复了 Agent,恢复了智能体,agent-skill-display
app.lib.activityFormat.detail.agentErrorCleared,cleared the agent error,清除了 Agent 错误,清除了智能体错误,agent-skill-display
app.lib.activityFormat.detail.agentTerminated,terminated the agent,终止了 Agent,终止了智能体,agent-skill-display
app.lib.activityFormat.agentFallback,agent,Agent,智能体,agent-skill-display
app.skills.agentsUsingSkillDialog.updateFailedFallback,Failed to update agent skills.,更新 Agent 的 Skill 失败。,更新智能体的技能失败。,agent-skill-display
app.skills.agentsUsingSkillDialog.noPermission,You don't have permission to change this agent's skills.,你没有权限修改此 Agent 的 Skill。,你没有权限修改此智能体的技能。,agent-skill-display
app.skills.agentsUsingSkillDialog.title,Agents using {{name}},使用 {{name}} 的 Agent,使用 {{name}} 的智能体,agent-skill-display
app.skills.agentsUsingSkillDialog.noAgentsAssigned,No agents have this skill assigned yet.,还没有 Agent 分配此 Skill。,尚未将此技能分配给任何智能体。,agent-skill-display;contextual-correction
app.skills.agentsUsingSkillDialog.oneAgentHasSkill,{{count}} agent has this skill in their desired set.,{{count}} 个 Agent 的期望 Skill 集中包含此 Skill。,{{count}} 个智能体的期望技能集中包含此技能。,agent-skill-display
app.skills.agentsUsingSkillDialog.manyAgentsHaveSkill,{{count}} agents have this skill in their desired set.,{{count}} 个 Agent 的期望 Skill 集中包含此 Skill。,{{count}} 个智能体的期望技能集中包含此技能。,agent-skill-display
app.skills.agentsUsingSkillDialog.addAgentBelow,Add an agent below to assign this skill.,在下方添加 Agent 以分配此 Skill。,在下方添加智能体以分配此技能。,agent-skill-display
app.skills.agentsUsingSkillDialog.notAssigned,This skill isn't assigned to any agents.,此 Skill 未分配给任何 Agent。,此技能未分配给任何智能体。,agent-skill-display
app.skills.agentsUsingSkillDialog.agentSkillVersion,{{name}} skill version,{{name}} 的 Skill 版本,{{name}} 的技能版本,agent-skill-display
app.skills.agentsUsingSkillDialog.confirmRemove,Confirm removing this skill from {{name}},确认从 {{name}} 移除此 Skill,确认从 {{name}} 移除此技能,agent-skill-display
app.skills.agentsUsingSkillDialog.removeFrom,Remove this skill from {{name}},从 {{name}} 移除此 Skill,从 {{name}} 移除此技能,agent-skill-display
app.skills.agentsUsingSkillDialog.loadingAgents,Loading agents...,正在加载 Agent…,正在加载智能体…,agent-skill-display
app.skills.agentsUsingSkillDialog.addAgent,Add agent…,添加 Agent…,添加智能体…,agent-skill-display
app.skills.agentsUsingSkillDialog.searchAgents,Search agents...,搜索 Agent…,搜索智能体…,agent-skill-display
app.skills.agentsUsingSkillDialog.allHaveSkill,All eligible agents already have this skill.,所有符合条件的 Agent 都已拥有此 Skill。,所有符合条件的智能体都已拥有此技能。,agent-skill-display
app.skills.agentsUsingSkillDialog.oneAgentUsesSkill,{{count}} agent uses this skill,{{count}} 个 Agent 使用此 Skill,{{count}} 个智能体使用此技能,agent-skill-display
app.skills.agentsUsingSkillDialog.manyAgentsUseSkill,{{count}} agents use this skill,{{count}} 个 Agent 使用此 Skill,{{count}} 个智能体使用此技能,agent-skill-display
app.skills.agentsUsingSkillDialog.oneAgent,{{count}} agent,{{count}} 个 Agent,{{count}} 个智能体,agent-skill-display
app.skills.agentsUsingSkillDialog.manyAgents,{{count}} agents,{{count}} 个 Agent,{{count}} 个智能体,agent-skill-display
app.skills.companySkills.compat.unknownTooltip,Paperclip could not validate this skill as Agent Skills markdown. Install at your own risk.,Paperclip 无法将此 Skill 验证为 Agent Skills markdown，安装风险自负。,Paperclip 无法将此技能验证为 Agent Skills markdown，安装风险自负。,agent-skill-display
app.skills.companySkills.compat.invalidTooltip,This skill cannot be installed — content is not valid Agent Skills markdown.,无法安装此 Skill：内容不是有效的 Agent Skills markdown。,无法安装此技能：内容不是有效的 Agent Skills markdown。,agent-skill-display
app.skills.companySkills.provenanceTooltip,Installed from the app-shipped skills catalog. Provenance is signed by package version and content hash.,从应用内置的 Skill 目录安装，来源由包版本和内容哈希签名。,从应用内置的技能目录安装，来源由包版本和内容哈希签名。,agent-skill-display
app.skills.companySkills.sort.agents,Most agents,Agent 最多,智能体最多,agent-skill-display
app.skills.companySkills.enabledForOne,Enabled for {{count}} agent,已为 {{count}} 个 Agent 启用,已为 {{count}} 个智能体启用,agent-skill-display
app.skills.companySkills.enabledForMany,Enabled for {{count}} agents,已为 {{count}} 个 Agent 启用,已为 {{count}} 个智能体启用,agent-skill-display
app.skills.companySkills.notEnabled,Not enabled for any agents,未为任何 Agent 启用,未为任何智能体启用,agent-skill-display
app.skills.companySkills.installedSkills,Installed skills,已安装 Skill,已安装技能,agent-skill-display
app.skills.companySkills.discoverSkills,Discover skills,发现 Skill,发现技能,agent-skill-display
app.skills.companySkills.installedDescription,Skills available to this organization.,此组织可用的 Skill。,此组织可用的技能。,agent-skill-display
app.skills.companySkills.discoverDescription,Browse skills from every available source.,浏览所有可用来源的 Skill。,浏览所有可用来源的技能。,agent-skill-display
app.skills.companySkills.searchInstalled,Search installed skills,搜索已安装 Skill,搜索已安装技能,agent-skill-display
app.skills.companySkills.searchDiscoverable,Search discoverable skills,搜索可发现的 Skill,搜索可发现的技能,agent-skill-display
app.skills.companySkills.filterInstalled,Filter installed skills.,筛选已安装 Skill。,筛选已安装技能。,agent-skill-display
app.skills.companySkills.filterDiscoverable,Filter discoverable skills.,筛选可发现的 Skill。,筛选可发现的技能。,agent-skill-display
app.skills.companySkills.scanWorkspaces,Scan project workspaces for skills,扫描项目工作区中的 Skill,扫描项目工作区中的技能,agent-skill-display
app.skills.companySkills.createNewSkill,Create new skill,创建新 Skill,创建新技能,agent-skill-display
app.skills.companySkills.importFromProject,Import skills from project,从项目导入 Skill,从项目导入技能,agent-skill-display
app.skills.companySkills.refreshProjectSkills,Refresh {{name}} project skills,刷新 {{name}} 项目的 Skill,刷新 {{name}} 项目的技能,agent-skill-display
app.skills.companySkills.refreshSkillsFrom,Refresh skills from {{name}},从 {{name}} 刷新 Skill,从 {{name}} 刷新技能,agent-skill-display
app.skills.companySkills.emptyInstalled,No installed skills yet. Discover a skill or create one.,还没有已安装的 Skill。可以发现或创建一个 Skill。,还没有已安装的技能。可以发现或创建一个技能。,agent-skill-display
app.skills.companySkills.emptyDiscover,No skills are available to discover yet.,还没有可发现的 Skill。,还没有可发现的技能。,agent-skill-display
app.skills.companySkills.emptyFiltered,No skills match your filters.,没有符合筛选条件的 Skill。,没有符合筛选条件的技能。,agent-skill-display
app.skills.companySkills.emptyView,No skills in this view yet.,此视图中还没有 Skill。,此视图中还没有技能。,agent-skill-display
app.skills.companySkills.createASkill,Create a skill,创建 Skill,创建技能,agent-skill-display
app.skills.companySkills.oneSkill,{{count}} skill,{{count}} 个 Skill,{{count}} 个技能,agent-skill-display
app.skills.companySkills.manySkills,{{count}} skills,{{count}} 个 Skill,{{count}} 个技能,agent-skill-display
app.skills.companySkills.wizard.skillName,Skill name,Skill 名称,技能名称,agent-skill-display
app.skills.companySkills.wizard.tagline,One-line promise for the skill,用一句话说明这个 Skill 的作用,用一句话说明这个技能的作用,agent-skill-display
app.skills.companySkills.wizard.newSkill,New Skill,新 Skill,新技能,agent-skill-display
app.skills.companySkills.wizard.slug,Slug,Slug,路径标识,contextual-correction
app.skills.companySkills.wizard.visiblePrivate,Only visible in your library.,仅在你的 Skill 库中可见。,仅在你的技能库中可见。,agent-skill-display
app.skills.companySkills.wizard.createSkill,Create skill,创建 Skill,创建技能,agent-skill-display
app.skills.companySkills.catalog.noMatch,No catalog skills match this filter.,没有符合此筛选条件的目录 Skill。,没有符合此筛选条件的目录技能。,agent-skill-display
app.skills.companySkills.catalog.selectSkill,Select a catalog skill to inspect.,请选择一个目录 Skill 查看。,请选择一个目录技能查看。,agent-skill-display
app.skills.companySkills.catalog.invalidTooltip,This skill cannot be installed — its content is not valid Agent Skills markdown.,无法安装此 Skill：其内容不是有效的 Agent Skills markdown。,无法安装此技能：其内容不是有效的 Agent Skills markdown。,agent-skill-display
app.skills.companySkills.catalog.installInOrganization,Install skill in this organization,在此组织中安装 Skill,在此组织中安装技能,agent-skill-display
app.skills.companySkills.catalog.installedOpen,Installed · Open in library,已安装 · 在 Skill 库中打开,已安装 · 在技能库中打开,agent-skill-display
app.skills.companySkills.catalog.hashChanged,Catalog content hash has changed since this skill was installed.,自安装此 Skill 以来，目录中的内容哈希已变化。,自安装此技能以来，目录中的内容哈希已变化。,agent-skill-display
app.skills.companySkills.installSkill,Install skill,安装 Skill,安装技能,agent-skill-display
app.skills.companySkills.install.replaceExisting,Replace existing skill,替换现有 Skill,替换现有技能,agent-skill-display
app.skills.companySkills.install.conflictUpdate,An existing skill with key <key>{{key}}</key> is installed ({{source}}). Installing will overwrite the catalog content.,已安装 key 为 <key>{{key}}</key> 的 Skill ({{source}})。安装将覆盖目录内容。,已安装标识为 <key>{{key}}</key> 的技能（{{source}}）。安装将覆盖目录内容。,agent-skill-display;contextual-correction
app.skills.companySkills.install.conflictReplace,An existing skill with key <key>{{key}}</key> is installed ({{source}}). Installing will replace the existing skill.,已安装 key 为 <key>{{key}}</key> 的 Skill ({{source}})。安装将替换现有 Skill。,已安装标识为 <key>{{key}}</key> 的技能（{{source}}）。安装将替换现有技能。,agent-skill-display;contextual-correction
app.skills.companySkills.install.enableForAgents,Enable for agents,为 Agent 启用,为智能体启用,agent-skill-display
app.skills.companySkills.install.enableHelp,Installing adds the skill to the organization library. Agents can only use it once it is enabled for them.,安装会将 Skill 添加到组织 Skill 库。只有为 Agent 启用后，Agent 才能使用它。,安装会将技能添加到组织技能库。只有为智能体启用后，智能体才能使用它。,agent-skill-display
app.skills.companySkills.install.slugOverride,Slug override,覆盖 Slug,覆盖路径标识,contextual-correction
app.skills.companySkills.install.forceReplace,Force replace existing same-key skill,强制替换 key 相同的现有 Skill,强制替换标识相同的现有技能,agent-skill-display;contextual-correction
app.skills.companySkills.install.enableHelpCompany,Installing adds the skill to the company library. Agents can only use it once it is enabled for them.,安装会将 Skill 添加到组织 Skill 库。只有为 Agent 启用后，Agent 才能使用它。,安装会将技能添加到组织技能库。只有为智能体启用后，智能体才能使用它。,agent-skill-display
app.skills.companySkills.noAgentsSupportSkills,No agents in this organization support skills yet.,此组织中还没有支持 Skill 的 Agent。,此组织中还没有支持技能的智能体。,agent-skill-display
app.skills.companySkills.agentSkillsNotSupported,skills not supported,不支持 Skill,不支持技能,agent-skill-display
app.skills.companySkills.addToAgent,Add to agent,添加到 Agent,添加到智能体,agent-skill-display
app.skills.companySkills.noAgentsYet,No agents yet.,还没有 Agent。,还没有智能体。,agent-skill-display
app.skills.companySkills.noSourceSkillsInstalled,No {{source}} skills installed.,没有已安装的 {{source}} Skill。,没有已安装的 {{source}} 技能。,agent-skill-display
app.skills.companySkills.noSkillsMatchFilter,No skills match this filter.,没有符合此筛选条件的 Skill。,没有符合此筛选条件的技能。,agent-skill-display
app.skills.companySkills.detail.notFound,Skill not found.,未找到 Skill。,未找到技能。,agent-skill-display
app.skills.companySkills.detail.forkToEdit,Fork this skill to edit it.,复刻此 Skill 后即可编辑。,复刻此技能后即可编辑。,agent-skill-display
app.skills.companySkills.detail.oneAgentAttached,{{count}} agent attached,已关联 {{count}} 个 Agent,已关联 {{count}} 个智能体,agent-skill-display
app.skills.companySkills.detail.manyAgentsAttached,{{count}} agents attached,已关联 {{count}} 个 Agent,已关联 {{count}} 个智能体,agent-skill-display
app.skills.companySkills.detail.noAgentsUsing,No agents are using this skill yet. Use “Add to agent” to attach it.,还没有 Agent 使用此 Skill。点击“添加到 Agent”进行关联。,还没有智能体使用此技能。点击“添加到智能体”进行关联。,agent-skill-display
app.skills.companySkills.detail.installsTooltip,Agents in this organization that currently have this skill installed.,此组织中当前安装了此 Skill 的 Agent。,此组织中当前安装了此技能的智能体。,agent-skill-display
app.skills.companySkills.detail.unstar,Unstar this skill,取消星标此 Skill,取消星标此技能,agent-skill-display
app.skills.companySkills.detail.star,Star this skill,星标此 Skill,星标此技能,agent-skill-display
app.skills.companySkills.detail.forkThis,Fork this skill,复刻此 Skill,复刻此技能,agent-skill-display
app.skills.companySkills.detail.noAgentsAttached,No agents attached yet.,还没有关联的 Agent。,还没有关联的智能体。,agent-skill-display
app.skills.companySkills.detail.installsTooltipCompany,Agents in this company that currently have this skill installed.,此组织中当前安装了此 Skill 的 Agent。,此组织中当前安装了此技能的智能体。,agent-skill-display
app.skills.companySkills.diff.title,Diff · skill files,差异 · Skill 文件,差异 · 技能文件,agent-skill-display
app.skills.companySkills.settings.title,Skill settings,Skill 设置,技能设置,agent-skill-display
app.skills.companySkills.settings.scopePrivate,Private — only visible in your library,私有：仅在你的 Skill 库中可见,私有：仅在你的技能库中可见,agent-skill-display
app.skills.companySkills.settings.removeHelp,Remove this skill from the organization library.,从组织 Skill 库中移除此 Skill。,从组织技能库中移除此技能。,agent-skill-display
app.skills.companySkills.settings.removeHelpCompany,Remove this skill from the company library.,从组织 Skill 库中移除此 Skill。,从组织技能库中移除此技能。,agent-skill-display
app.skills.companySkills.detachBeforeRemove,Detach this skill from all agents before removing it.,请先从所有 Agent 中解除此 Skill，再将其移除。,请先从所有智能体中解除此技能，再将其移除。,agent-skill-display
app.skills.companySkills.pane.selectSkill,Select a skill to inspect its files.,请选择一个 Skill 查看其文件。,请选择一个技能查看其文件。,agent-skill-display
app.skills.companySkills.pane.locallyModifiedTooltip,You have edited this skill after installing. Updates from the catalog will overwrite your changes.,你在安装后编辑过此 Skill。从目录更新会覆盖你的修改。,你在安装后编辑过此技能。从目录更新会覆盖你的修改。,agent-skill-display
app.skills.companySkills.pane.noAgentsAttached,No agents attached,未关联 Agent,未关联智能体,agent-skill-display
app.skills.companySkills.page.forkSkill,Fork skill,复刻 Skill,复刻技能,agent-skill-display
app.skills.companySkills.page.newSkill,New skill,新建 Skill,新建技能,agent-skill-display
app.skills.companySkills.page.selectOrganization,Select an organization to manage skills.,请选择一个组织以管理 Skill。,请选择一个组织以管理技能。,agent-skill-display
app.skills.companySkills.page.createNewSkill,Create a new skill,创建新 Skill,创建新技能,agent-skill-display
app.skills.companySkills.page.createDescription,Create an editable organization skill in the Paperclip workspace.,在 Paperclip 工作区中创建一个可编辑的组织 Skill。,在 Paperclip 工作区中创建一个可编辑的组织技能。,agent-skill-display
app.skills.companySkills.page.forkSourceNotFound,Fork source skill not found.,未找到复刻来源 Skill。,未找到复刻来源技能。,agent-skill-display
app.skills.companySkills.page.skillsView,Skills view,Skill 视图,技能视图,agent-skill-display
app.skills.companySkills.page.backToStore,Back to store,返回 Skill 商店,返回技能商店,agent-skill-display
app.skills.companySkills.page.catalogSkillNotFound,Catalog skill not found.,未找到目录 Skill。,未找到目录技能。,agent-skill-display
app.skills.companySkills.page.selectCompany,Select a company to manage skills.,请选择一个组织以管理 Skill。,请选择一个组织以管理技能。,agent-skill-display
app.skills.companySkills.page.createDescriptionCompany,Create an editable company skill in the Paperclip workspace.,在 Paperclip 工作区中创建一个可编辑的组织 Skill。,在 Paperclip 工作区中创建一个可编辑的组织技能。,agent-skill-display
app.skills.companySkills.toast.skillsImported,Skills imported,Skill 已导入,技能已导入,agent-skill-display
app.skills.companySkills.toast.oneSkillAdded,{{count}} skill added.,已添加 {{count}} 个 Skill。,已添加 {{count}} 个技能。,agent-skill-display
app.skills.companySkills.toast.manySkillsAdded,{{count}} skills added.,已添加 {{count}} 个 Skill。,已添加 {{count}} 个技能。,agent-skill-display
app.skills.companySkills.toast.importFailed,Skill import failed,Skill 导入失败,技能导入失败,agent-skill-display
app.skills.companySkills.toast.importFailedBody,Failed to import skill source.,导入 Skill 来源失败。,导入技能来源失败。,agent-skill-display
app.skills.companySkills.toast.scanComplete,Project skill scan complete,项目 Skill 扫描完成,项目技能扫描完成,agent-skill-display
app.skills.companySkills.toast.conflictsFound,Skill conflicts found,发现 Skill 冲突,发现技能冲突,agent-skill-display
app.skills.companySkills.toast.scanFailed,Project skill scan failed,项目 Skill 扫描失败,项目技能扫描失败,agent-skill-display
app.skills.companySkills.toast.forkCreated,Skill fork created,Skill 复刻已创建,技能复刻已创建,agent-skill-display
app.skills.companySkills.toast.skillCreated,Skill created,Skill 已创建,技能已创建,agent-skill-display
app.skills.companySkills.toast.createFailedBody,Failed to create skill.,创建 Skill 失败。,创建技能失败。,agent-skill-display
app.skills.companySkills.toast.createFailed,Skill creation failed,Skill 创建失败,技能创建失败,agent-skill-display
app.skills.companySkills.toast.saved,Skill saved,Skill 已保存,技能已保存,agent-skill-display
app.skills.companySkills.toast.saveFailedBody,Failed to save skill file.,保存 Skill 文件失败。,保存技能文件失败。,agent-skill-display
app.skills.companySkills.toast.selectSkillFirst,Select a skill first.,请先选择一个 Skill。,请先选择一个技能。,agent-skill-display
app.skills.companySkills.toast.settingsUpdated,Skill settings updated,Skill 设置已更新,技能设置已更新,agent-skill-display
app.skills.companySkills.toast.settingsFailed,Skill settings update failed,Skill 设置更新失败,技能设置更新失败,agent-skill-display
app.skills.companySkills.toast.settingsFailedBody,Failed to update skill settings.,更新 Skill 设置失败。,更新技能设置失败。,agent-skill-display
app.skills.companySkills.toast.skillUpdated,Skill updated,Skill 已更新,技能已更新,agent-skill-display
app.skills.companySkills.toast.updateFailedBody,Failed to install skill update.,安装 Skill 更新失败。,安装技能更新失败。,agent-skill-display
app.skills.companySkills.toast.installed,Skill installed,Skill 已安装,技能已安装,agent-skill-display
app.skills.companySkills.toast.upToDate,Skill is up to date,Skill 已是最新,技能已是最新,agent-skill-display
app.skills.companySkills.toast.enabledForOne,{{name}} — enabled for {{count}} agent.,{{name}}：已为 {{count}} 个 Agent 启用。,{{name}}：已为 {{count}} 个智能体启用。,agent-skill-display
app.skills.companySkills.toast.enabledForMany,{{name}} — enabled for {{count}} agents.,{{name}}：已为 {{count}} 个 Agent 启用。,{{name}}：已为 {{count}} 个智能体启用。,agent-skill-display
app.skills.companySkills.toast.notEnabled,"{{name}} is in the library but not enabled for any agent yet. Use ""Add to agent"" to enable it.",{{name}} 已在 Skill 库中，但尚未为任何 Agent 启用。请使用“添加到 Agent”启用。,{{name}} 已在技能库中，但尚未为任何智能体启用。请使用“添加到智能体”启用。,agent-skill-display
app.skills.companySkills.toast.enableFailed,"Skill installed, but enabling failed",Skill 已安装，但启用失败,技能已安装，但启用失败,agent-skill-display
app.skills.companySkills.toast.enableFailedOne,"Could not enable {{name}} for {{count}} agent. Use ""Add to agent"" on the skill page.",无法为 {{count}} 个 Agent 启用 {{name}}。请在 Skill 页面使用“添加到 Agent”。,无法为 {{count}} 个智能体启用 {{name}}。请在技能页面使用“添加到智能体”。,agent-skill-display
app.skills.companySkills.toast.enableFailedMany,"Could not enable {{name}} for {{count}} agents. Use ""Add to agent"" on the skill page.",无法为 {{count}} 个 Agent 启用 {{name}}。请在 Skill 页面使用“添加到 Agent”。,无法为 {{count}} 个智能体启用 {{name}}。请在技能页面使用“添加到智能体”。,agent-skill-display
app.skills.companySkills.toast.installFailedBody,Failed to install catalog skill.,安装目录 Skill 失败。,安装目录技能失败。,agent-skill-display
app.skills.companySkills.toast.moveSelectedFailedBody,Failed to move the selected skills.,移动所选 Skill 失败。,移动所选技能失败。,agent-skill-display
app.skills.companySkills.toast.skillsMovedToUnfiled,Skills moved to Unfiled.,Skill 已移至未分类。,技能已移至未分类。,agent-skill-display
app.skills.companySkills.toast.moveSkillFailedBody,Failed to move skill.,移动 Skill 失败。,移动技能失败。,agent-skill-display
app.skills.companySkills.toast.skillsMoved,Skills moved,Skill 已移动,技能已移动,agent-skill-display
app.skills.companySkills.toast.oneSkillFiled,{{count}} skill filed.,已归入 {{count}} 个 Skill。,已归入 {{count}} 个技能。,agent-skill-display
app.skills.companySkills.toast.manySkillsFiled,{{count}} skills filed.,已归入 {{count}} 个 Skill。,已归入 {{count}} 个技能。,agent-skill-display
app.skills.companySkills.toast.moveSkillsFailed,Failed to move skills,移动 Skill 失败,移动技能失败,agent-skill-display
app.skills.companySkills.toast.openMySkillsFailed,Couldn't open My Skills,无法打开我的 Skill,无法打开我的技能,agent-skill-display
app.skills.companySkills.toast.skillMoved,Skill moved,Skill 已移动,技能已移动,agent-skill-display
app.skills.companySkills.toast.agentsUpdated,Agents updated,Agent 已更新,智能体已更新,agent-skill-display
app.skills.companySkills.toast.agentsAttached,{{count}} agent(s) attached.,已关联 {{count}} 个 Agent。,已关联 {{count}} 个智能体。,agent-skill-display
app.skills.companySkills.toast.removed,Skill removed,Skill 已移除,技能已移除,agent-skill-display
app.skills.companySkills.toast.removedBody,{{name}} was removed from the organization skill library.,{{name}} 已从组织 Skill 库中移除。,{{name}} 已从组织技能库中移除。,agent-skill-display
